transaction_id,estate,phase,block,unit,floor,saleable_area_sqft,price_hkd,price_per_sqft_hkd_reference_only,sale_date,source_url,notes
138,city_one_shatin,2,15,D,22,853,3000000,3517,2020-01-02,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
139,city_one_shatin,2,15,A,23,819,11468000,14002,2022-05-11,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
140,city_one_shatin,2,15,D,27,853,13000000,15240,2022-04-25,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-15,
141,city_one_shatin,2,16,D,1,327,4050000,12385,2025-07-15,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
142,city_one_shatin,2,16,E,1,451,5380000,11929,2026-02-13,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
143,city_one_shatin,2,16,G,2,327,5200000,15902,2020-02-18,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
144,city_one_shatin,2,16,A,3,451,6280000,13925,2022-09-28,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
145,city_one_shatin,2,16,B,3,451,6000000,13304,2021-04-08,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
146,city_one_shatin,2,16,C,3,327,3900000,11927,2024-09-13,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
147,city_one_shatin,2,16,A,4,451,6500000,14412,2021-12-01,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
148,city_one_shatin,2,16,D,4,327,5100000,15596,2022-06-08,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
149,city_one_shatin,2,16,F,4,451,6080000,13481,2021-02-11,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
150,city_one_shatin,2,16,C,5,327,5700000,17431,2022-01-21,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
