transaction_id,estate,block,floor,saleable_area_sqft,age_at_sale,sale_date,price_hkd,adjusted_price_hkd
230,city_one_shatin,29,4,451,40,2023-03-10,6280000,5510028
231,city_one_shatin,29,4,327,37,2020-09-25,5500000,4491565
232,city_one_shatin,29,5,327,38,2021-09-21,5900000,4800508
233,city_one_shatin,29,5,451,37,2020-05-15,7080000,5763827
234,city_one_shatin,29,5,451,37,2020-09-08,7250000,5920700
235,city_one_shatin,29,6,327,38,2021-10-26,6080000,4979917
236,city_one_shatin,29,7,451,40,2023-09-04,5830000,5534419
237,city_one_shatin,29,8,327,41,2024-10-17,4198000,4198038
238,city_one_shatin,29,9,451,35,2018-08-03,7820000,6857855
239,city_one_shatin,29,9,327,42,2025-07-31,4190000,4344117
240,city_one_shatin,29,9,451,37,2020-10-15,7280000,6010126
241,city_one_shatin,29,9,327,38,2021-06-07,5800000,4553373
242,city_one_shatin,29,10,451,39,2022-10-05,6680000,5876267
243,city_one_shatin,29,10,327,38,2021-04-07,5600000,4473763
244,city_one_shatin,29,11,451,41,2024-04-12,6000000,5852444
245,city_one_shatin,29,11,327,38,2021-06-18,6080000,4773191
246,city_one_shatin,29,11,327,39,2022-12-01,5150000,4695368
247,city_one_shatin,29,13,327,40,2023-03-23,5380000,4720374
248,city_one_shatin,29,13,327,41,2024-09-17,3750000,3941807
249,city_one_shatin,29,13,327,41,2024-01-29,4200000,4082467
250,city_one_shatin,29,14,327,41,2024-02-02,4200000,4327069
251,city_one_shatin,29,16,327,39,2022-11-18,4980000,4518629
252,city_one_shatin,29,17,327,37,2020-07-13,5680000,4688441
253,city_one_shatin,29,19,327,38,2021-11-03,5210000,4209047
254,city_one_shatin,29,19,451,42,2025-04-08,5000000,5351251
255,city_one_shatin,29,19,327,36,2019-03-07,5550000,4871369
256,city_one_shatin,29,20,451,39,2022-10-19,6430000,5656347
257,city_one_shatin,29,20,451,43,2026-03-06,4800000,4566276
258,city_one_shatin,29,22,451,38,2021-09-06,7780000,6330161
259,city_one_shatin,29,22,327,36,2019-10-16,5300000,4632076
260,city_one_shatin,29,22,451,38,2021-05-28,7700000,6187920
261,city_one_shatin,29,23,451,37,2020-08-03,7100000,5867374
262,city_one_shatin,29,24,451,35,2018-05-28,7620000,6763969
263,city_one_shatin,29,24,451,39,2022-10-17,6700000,5893861
264,city_one_shatin,29,24,327,35,2018-08-09,5000000,4384818
265,city_one_shatin,29,25,451,37,2020-12-03,7550000,6238259
266,city_one_shatin,29,26,327,40,2023-03-03,5220000,4579991
267,city_one_shatin,29,27,451,42,2025-11-04,6230000,6232224
268,city_one_shatin,29,27,327,36,2019-10-08,5580000,4876789
269,city_one_shatin,29,28,451,41,2024-09-09,5700000,5991547
270,city_one_shatin,29,28,327,39,2022-02-17,6280000,5020344
271,city_one_shatin,29,29,451,37,2020-06-03,8050000,6700161
272,city_one_shatin,29,29,327,35,2018-04-18,5700000,5215128
273,city_one_shatin,29,29,451,38,2021-06-18,7850000,6162755
274,city_one_shatin,29,29,327,37,2020-03-24,5750000,4813685
275,city_one_shatin,30,1,451,37,2020-10-27,6630000,5473508
276,city_one_shatin,30,2,327,41,2024-08-08,3973000,4142631
277,city_one_shatin,30,3,327,35,2018-03-05,5360000,5031790
278,city_one_shatin,30,3,327,42,2025-04-10,3700000,3959926
279,city_one_shatin,30,4,451,38,2021-01-27,6750000,5528318
280,city_one_shatin,30,4,327,37,2020-05-28,5650000,4599664
281,city_one_shatin,30,5,451,40,2023-05-15,6550000,5663731
282,city_one_shatin,30,5,327,35,2018-01-04,4880000,4624311
283,city_one_shatin,30,5,451,36,2019-09-13,6600000,5866941
284,city_one_shatin,30,5,327,35,2018-05-28,4600000,4083236
