transaction_id,phase,block,unit,floor,saleable_area_sqft,price_hkd,price_per_sqft_hkd_reference_only,sale_date,source_url,notes
142,2,16,B,30,451,8180000,18137,2022-02-22,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
143,2,16,G,30,327,5920000,18104,2021-06-28,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
144,2,16,H,30,327,6010000,18379,2020-12-07,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
145,2,16,B,29,451,5750000,12749,2024-12-03,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
146,2,16,D,29,327,5268000,16110,2018-12-06,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
147,2,16,C,28,327,4180000,12783,2025-04-17,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
148,2,16,F,28,451,6000000,13304,2025-08-08,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
149,2,16,G,28,327,6360000,19450,2019-11-15,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
150,2,16,B,27,451,7600000,16851,2020-09-24,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
151,2,16,C,27,327,6000000,18349,2019-07-17,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
152,2,16,F,27,451,6080000,13481,2024-07-24,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
153,2,16,C,26,327,5400000,16514,2023-03-15,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
154,2,16,D,26,327,5860000,17920,2020-08-10,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
155,2,16,E,26,451,5750000,12749,2024-03-25,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
156,2,16,H,26,327,5700000,17431,2020-11-25,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
157,2,16,A,25,451,7680000,17029,2018-05-15,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
158,2,16,C,25,327,4800000,14679,2023-11-17,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
159,2,16,E,25,451,7370000,16341,2021-01-27,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
160,2,16,G,25,327,5300000,16208,2025-03-25,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
161,2,16,C,24,327,5950000,18196,2021-07-16,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
162,2,16,H,24,327,5200000,15902,2023-07-28,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
163,2,16,C,23,327,4350000,13303,2024-06-28,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
164,2,16,A,22,451,6780000,15033,2023-09-04,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
165,2,16,C,22,327,4250000,12997,2024-09-20,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
166,2,16,F,21,451,7200000,15965,2019-03-07,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
167,2,16,B,20,451,5538000,12279,2024-06-25,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
168,2,16,C,20,327,5280000,16147,2019-11-12,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
169,2,16,D,20,327,4430000,13547,2024-01-24,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
170,2,16,F,20,451,7200000,15965,2022-02-22,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
171,2,16,G,20,327,5300000,16208,2022-11-28,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
172,2,16,C,19,327,4250000,12997,2024-10-24,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
173,2,16,E,19,451,3000000,6652,2019-05-22,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
174,2,16,G,19,327,4480000,13700,2025-10-08,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
175,2,16,E,18,451,6400000,14191,2023-01-12,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
176,2,16,B,17,451,5500000,12195,2025-11-25,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
177,2,16,D,17,327,6000000,18349,2019-11-21,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
178,2,16,G,17,327,5850000,17890,2020-02-05,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
179,2,16,E,16,451,4830000,10710,2025-03-24,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
180,2,16,H,15,327,4468000,13664,2025-11-19,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
181,2,16,C,14,327,5500000,16820,2021-01-14,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
182,2,16,D,14,327,4420000,13517,2026-02-13,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
183,2,16,E,14,451,5800000,12860,2025-11-07,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
184,2,16,F,14,451,6100000,13525,2024-12-03,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
185,2,16,D,13,327,5200000,15902,2023-02-23,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
186,2,16,E,13,451,7150000,15854,2022-02-09,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
187,2,16,G,13,327,5620000,17187,2018-04-23,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
188,2,16,B,12,451,7300000,16186,2020-06-12,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
189,2,16,D,11,327,5700000,17431,2020-06-03,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
190,2,16,G,11,327,6110000,18685,2021-07-05,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
191,2,16,H,11,327,4100000,12538,2024-07-22,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
192,2,16,D,10,327,6000000,18349,2021-12-29,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
193,2,16,G,10,327,5280000,16147,2018-01-09,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
194,2,16,H,10,327,5960000,18226,2022-02-24,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
195,2,16,A,9,451,6130000,13592,2026-04-08,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
196,2,16,B,9,451,7220000,16009,2020-05-22,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
