transaction_id,block,floor,saleable_area_sqft,age_at_sale,sale_date,price_hkd,adjusted_price_hkd
254,29,9,327,42,2025-07-31,4190000,4344117
255,29,9,451,37,2020-10-15,7280000,6010126
256,29,9,327,38,2021-06-07,5800000,4553373
257,29,8,327,41,2024-10-17,4198000,4198038
258,29,7,451,40,2023-09-04,5830000,5534419
259,29,6,327,38,2021-10-26,6080000,4979917
260,29,5,327,38,2021-09-21,5900000,4800508
261,29,5,451,37,2020-05-15,7080000,5763827
262,29,5,451,37,2020-09-08,7250000,5920700
263,29,4,451,36,2019-06-24,6800000,5989203
264,29,4,451,40,2023-03-10,6280000,5510028
265,29,4,327,37,2020-09-25,5500000,4491565
266,29,3,327,35,2018-01-12,4720000,4472694
267,29,2,451,40,2023-02-15,5968000,5216101
268,29,2,451,38,2021-10-08,6668000,5461528
269,29,2,327,42,2025-11-11,3980000,3981421
270,29,2,451,39,2022-08-01,6210000,5271204
271,29,2,327,39,2022-11-08,4750000,4309938
272,29,1,451,35,2018-06-05,2000000,1698600
273,29,1,451,41,2024-03-18,5000000,4895252
274,29,1,327,38,2021-07-20,5618000,4382885
275,30,30,451,41,2024-08-21,6220000,6485570
276,30,29,327,35,2018-02-02,5300000,4915018
277,30,28,327,41,2024-10-28,4250000,4250039
278,30,28,327,37,2020-02-13,5910000,5053957
279,30,27,451,38,2021-01-12,7750000,6347328
280,30,27,327,36,2019-04-12,5500000,4721443
281,30,27,327,37,2020-08-17,5960000,4925288
282,30,27,327,35,2018-06-19,5400000,4586220
283,30,25,327,42,2025-05-21,3850000,4056167
284,30,24,327,40,2023-10-30,4300000,4172100
285,30,23,451,42,2025-04-08,5350000,5725838
286,30,23,451,37,2020-04-23,7680000,6504027
287,30,23,327,40,2023-09-12,4900000,4651570
288,30,22,327,37,2020-09-17,5650000,4614063
289,30,22,451,40,2023-12-15,5650000,5474802
290,30,22,327,41,2024-01-19,4688000,4556811
291,30,21,327,43,2026-06-29,4689000,4488258
292,30,20,327,41,2024-10-14,2300000,2300021
293,30,19,451,42,2025-03-31,5000000,5386480
294,30,18,327,39,2022-12-08,4950000,4513024
295,30,17,451,39,2022-06-30,7000000,5768642
296,30,17,327,35,2018-06-07,5900000,5010870
297,30,17,327,41,2024-10-22,3500000,3500032
298,30,16,451,39,2022-06-16,7250000,5974665
299,30,16,327,42,2025-10-08,4310000,4459394
300,30,15,451,41,2024-07-18,2980000,3004906
301,30,15,451,37,2020-04-20,7280000,6165276
302,30,15,327,35,2018-02-22,5300000,4915018
303,30,15,327,38,2021-12-09,5730000,4647900
304,30,14,327,43,2026-06-24,4920000,4709369
305,30,14,327,37,2020-07-29,5780000,4770983
306,30,13,451,40,2023-09-25,5900000,5600870
307,30,13,451,37,2020-11-24,7280000,5928987
308,30,13,327,40,2023-11-21,4260000,4165345
309,30,12,327,37,2020-10-12,5500000,4540617
310,30,12,451,39,2022-11-07,986000,894652
311,30,11,451,40,2023-10-25,5880000,5705105
312,30,9,327,42,2025-10-31,4200000,4345582
313,30,9,451,36,2019-02-15,6000000,5288810
314,30,9,451,40,2023-03-03,5400000,4737922
315,30,9,327,42,2025-06-19,3980000,4161124
316,30,7,451,38,2021-11-01,3250000,2625605
317,30,7,327,38,2021-04-08,5300000,4234097
318,30,7,327,40,2023-11-01,4100000,4008900
319,30,6,451,39,2022-04-29,6930000,5458804
320,30,6,451,42,2025-02-14,5325000,5580516
321,30,6,327,42,2025-09-10,5000000,5122450
322,30,5,451,40,2023-05-15,6550000,5663731
323,30,5,327,35,2018-01-04,4880000,4624311
324,30,5,451,36,2019-09-13,6600000,5866941
325,30,5,327,35,2018-05-28,4600000,4083236
326,30,5,327,39,2022-04-11,5200000,4096073
327,30,4,451,38,2021-01-27,6750000,5528318
328,30,4,327,37,2020-05-28,5650000,4599664
329,30,3,327,35,2018-03-05,5360000,5031790
330,30,3,327,42,2025-04-10,3700000,3959926
331,30,2,327,41,2024-08-08,3973000,4142631
332,30,1,451,37,2020-10-27,6630000,5473508
333,37,32,284,40,2025-01-23,1600000,1685192
334,37,32,304,41,2026-06-24,4900000,4690225
335,37,31,304,34,2019-09-19,5950000,5289136
