PRIVATE  DOMESTIC  -  AVERAGE  PRICES  BY  CLASS [MONTHLY],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,Class A Hong Kong,Class A Hong Kong - Remarks,Class A Kowloon,Class A Kowloon - Remarks,Class A New Territories,Class A New Territories - Remarks,Class B Hong Kong,Class B Hong Kong - Remarks,Class B Kowloon,Class B Kowloon - Remarks,Class B New Territories,Class B New Territories - Remarks,Class C Hong Kong,Class C Hong Kong - Remarks,Class C Kowloon,Class C Kowloon - Remarks,Class C New Territories,Class C New Territories - Remarks,Class D Hong Kong,Class D Hong Kong - Remarks,Class D Kowloon,Class D Kowloon - Remarks,Class D New Territories,Class D New Territories - Remarks,Class E Hong Kong,Class E Hong Kong - Remarks,Class E Kowloon,Class E Kowloon - Remarks,Class E New Territories,Class E New Territories - Remarks
12-2005,39303,,28081,,30025,,47630,,36270,,32098,,65761,,55737,,40083,,82771,,69862,,50931,,112012,,107191,Z,49348,Z
01-2006,40024,,28943,,29874,,49657,,38392,,32532,,65560,,54375,,41256,,84337,,72873,,45247,,138664,,86517,Z,52660,Z
02-2006,41882,,28326,,29682,,49519,,39483,,31730,,66543,,56540,,40083,,76207,,69884,,51243,,114667,,104601,Z,65209,Z
03-2006,41219,,30214,,29896,,52860,,37687,,31857,,69824,,58194,,41975,,86836,,76766,,45590,,118955,,109771,Z,48578,
04-2006,43048,,29174,,29925,,52764,,39302,,32630,,69582,,59558,,42651,,86946,,85353,,43839,,108680,,108732,Z,60194,
05-2006,43767,,30639,,29284,,52955,,38482,,31885,,71037,,59756,,41799,,86833,,76919,,50371,,124265,,101315,Z,54390,
06-2006,42897,,30574,,28325,,50377,,38910,,30828,,73963,,55686,,42906,,86287,,75724,,45431,,118526,,101109,Z,55254,Z
07-2006,40559,,30001,,28527,,51122,,37865,,30795,,66739,,56835,,39257,,84452,,76292,,50308,,145366,,67665,Z,54332,
08-2006,44119,,30400,,28703,,53547,,37992,,30556,,67419,,60936,,41871,,86104,,79203,,49444,,129472,,117118,Z,63235,
09-2006,43659,,30503,,28672,,53387,,36527,,30215,,69813,,56434,,41984,,80288,,67285,,51820,,121137,,99372,Z,57344,
10-2006,43343,,29977,,28176,,52579,,37623,,29964,,70843,,51539,,41190,,92118,,78217,,50922,,117339,,90214,Z,58246,
11-2006,43671,,30055,,28150,,52380,,37571,,30651,,70124,,55213,,41860,,90805,,74597,,45869,,112425,,76397,Z,53109,
